FID	IID	pop	super_pop
MXL_005	MXL_005	MXL	AMR
MXL_006	MXL_006	MXL	AMR
MXL_007	MXL_007	MXL	AMR
MXL_008	MXL_008	MXL	AMR
MXL_009	MXL_009	MXL	AMR
MXL_010	MXL_010	MXL	AMR
MXL_011	MXL_011	MXL	AMR
MXL_012	MXL_012	MXL	AMR
MXL_013	MXL_013	MXL	AMR
MXL_014	MXL_014	MXL	AMR
MXL_015	MXL_015	MXL	AMR
MXL_016	MXL_016	MXL	AMR
MXL_017	MXL_017	MXL	AMR
MXL_018	MXL_018	MXL	AMR
MXL_019	MXL_019	MXL	AMR
MXL_020	MXL_020	MXL	AMR
MXL_021	MXL_021	MXL	AMR
MXL_022	MXL_022	MXL	AMR
MXL_023	MXL_023	MXL	AMR
MXL_024	MXL_024	MXL	AMR
MXL_025	MXL_025	MXL	AMR
PEL_001	PEL_001	PEL	AMR
PEL_002	PEL_002	PEL	AMR
PEL_003	PEL_003	PEL	AMR
PEL_004	PEL_004	PEL	AMR
PEL_005	PEL_005	PEL	AMR
PEL_006	PEL_006	PEL	AMR
PEL_007	PEL_007	PEL	AMR
PEL_008	PEL_008	PEL	AMR
PEL_009	PEL_009	PEL	AMR
PEL_010	PEL_010	PEL	AMR
PEL_011	PEL_011	PEL	AMR
PEL_012	PEL_012	PEL	AMR
PEL_013	PEL_013	PEL	AMR
PEL_014	PEL_014	PEL	AMR
PEL_015	PEL_015	PEL	AMR
PEL_016	PEL_016	PEL	AMR
PEL_017	PEL_017	PEL	AMR
PEL_018	PEL_018	PEL	AMR
PEL_019	PEL_019	PEL	AMR
PEL_020	PEL_020	PEL	AMR
PEL_021	PEL_021	PEL	AMR
PEL_022	PEL_022	PEL	AMR
PEL_023	PEL_023	PEL	AMR
PEL_024	PEL_024	PEL	AMR
PEL_025	PEL_025	PEL	AMR
GIH_001	GIH_001	GIH	CSA
GIH_002	GIH_002	GIH	CSA
GIH_003	GIH_003	GIH	CSA
GIH_004	GIH_004	GIH	CSA
GIH_005	GIH_005	GIH	CSA
GIH_006	GIH_006	GIH	CSA
GIH_007	GIH_007	GIH	CSA
GIH_008	GIH_008	GIH	CSA
GIH_009	GIH_009	GIH	CSA
GIH_010	GIH_010	GIH	CSA
GIH_011	GIH_011	GIH	CSA
GIH_012	GIH_012	GIH	CSA
GIH_013	GIH_013	GIH	CSA
GIH_014	GIH_014	GIH	CSA
GIH_015	GIH_015	GIH	CSA
GIH_016	GIH_016	GIH	CSA
GIH_017	GIH_017	GIH	CSA
GIH_018	GIH_018	GIH	CSA
GIH_019	GIH_019	GIH	CSA
GIH_020	GIH_020	GIH	CSA
GIH_021	GIH_021	GIH	CSA
GIH_022	GIH_022	GIH	CSA
GIH_023	GIH_023	GIH	CSA
GIH_024	GIH_024	GIH	CSA
GIH_025	GIH_025	GIH	CSA
PJL_001	PJL_001	PJL	CSA
PJL_002	PJL_002	PJL	CSA
PJL_003	PJL_003	PJL	CSA
PJL_004	PJL_004	PJL	CSA
PJL_005	PJL_005	PJL	CSA
PJL_006	PJL_006	PJL	CSA
PJL_007	PJL_007	PJL	CSA
PJL_008	PJL_008	PJL	CSA
PJL_009	PJL_009	PJL	CSA
PJL_010	PJL_010	PJL	CSA
PJL_011	PJL_011	PJL	CSA
PJL_012	PJL_012	PJL	CSA
PJL_013	PJL_013	PJL	CSA
PJL_014	PJL_014	PJL	CSA
PJL_015	PJL_015	PJL	CSA
PJL_016	PJL_016	PJL	CSA
PJL_017	PJL_017	PJL	CSA
PJL_018	PJL_018	PJL	CSA
PJL_019	PJL_019	PJL	CSA
PJL_020	PJL_020	PJL	CSA
PJL_021	PJL_021	PJL	CSA
PJL_022	PJL_022	PJL	CSA
PJL_023	PJL_023	PJL	CSA
PJL_024	PJL_024	PJL	CSA
PJL_025	PJL_025	PJL	CSA
CHB_001	CHB_001	CHB	EAS
CHB_002	CHB_002	CHB	EAS
CHB_003	CHB_003	CHB	EAS
CHB_004	CHB_004	CHB	EAS
CHB_005	CHB_005	CHB	EAS
CHB_006	CHB_006	CHB	EAS
CHB_007	CHB_007	CHB	EAS
CHB_008	CHB_008	CHB	EAS
CHB_009	CHB_009	CHB	EAS
CHB_010	CHB_010	CHB	EAS
CHB_011	CHB_011	CHB	EAS
CHB_012	CHB_012	CHB	EAS
CHB_013	CHB_013	CHB	EAS
CHB_014	CHB_014	CHB	EAS
CHB_015	CHB_015	CHB	EAS
CHB_016	CHB_016	CHB	EAS
CHB_017	CHB_017	CHB	EAS
CHB_018	CHB_018	CHB	EAS
CHB_019	CHB_019	CHB	EAS
CHB_020	CHB_020	CHB	EAS
CHB_021	CHB_021	CHB	EAS
CHB_022	CHB_022	CHB	EAS
CHB_023	CHB_023	CHB	EAS
CHB_024	CHB_024	CHB	EAS
CHB_025	CHB_025	CHB	EAS
JPT_001	JPT_001	JPT	EAS
JPT_002	JPT_002	JPT	EAS
JPT_003	JPT_003	JPT	EAS
JPT_004	JPT_004	JPT	EAS
JPT_005	JPT_005	JPT	EAS
JPT_006	JPT_006	JPT	EAS
JPT_007	JPT_007	JPT	EAS
JPT_008	JPT_008	JPT	EAS
JPT_009	JPT_009	JPT	EAS
JPT_010	JPT_010	JPT	EAS
JPT_011	JPT_011	JPT	EAS
JPT_012	JPT_012	JPT	EAS
JPT_013	JPT_013	JPT	EAS
JPT_014	JPT_014	JPT	EAS
JPT_015	JPT_015	JPT	EAS
JPT_016	JPT_016	JPT	EAS
JPT_017	JPT_017	JPT	EAS
JPT_018	JPT_018	JPT	EAS
JPT_019	JPT_019	JPT	EAS
JPT_020	JPT_020	JPT	EAS
JPT_021	JPT_021	JPT	EAS
JPT_022	JPT_022	JPT	EAS
JPT_023	JPT_023	JPT	EAS
JPT_024	JPT_024	JPT	EAS
JPT_025	JPT_025	JPT	EAS
GBR_001	GBR_001	GBR	EUR
GBR_002	GBR_002	GBR	EUR
GBR_003	GBR_003	GBR	EUR
GBR_004	GBR_004	GBR	EUR
GBR_005	GBR_005	GBR	EUR
GBR_006	GBR_006	GBR	EUR
GBR_007	GBR_007	GBR	EUR
GBR_008	GBR_008	GBR	EUR
GBR_009	GBR_009	GBR	EUR
GBR_010	GBR_010	GBR	EUR
GBR_011	GBR_011	GBR	EUR
GBR_012	GBR_012	GBR	EUR
GBR_013	GBR_013	GBR	EUR
GBR_014	GBR_014	GBR	EUR
GBR_015	GBR_015	GBR	EUR
GBR_016	GBR_016	GBR	EUR
GBR_017	GBR_017	GBR	EUR
GBR_018	GBR_018	GBR	EUR
GBR_019	GBR_019	GBR	EUR
GBR_020	GBR_020	GBR	EUR
GBR_021	GBR_021	GBR	EUR
GBR_022	GBR_022	GBR	EUR
GBR_023	GBR_023	GBR	EUR
GBR_024	GBR_024	GBR	EUR
GBR_025	GBR_025	GBR	EUR
TSI_001	TSI_001	TSI	EUR
TSI_002	TSI_002	TSI	EUR
TSI_003	TSI_003	TSI	EUR
TSI_004	TSI_004	TSI	EUR
TSI_005	TSI_005	TSI	EUR
TSI_006	TSI_006	TSI	EUR
TSI_007	TSI_007	TSI	EUR
TSI_008	TSI_008	TSI	EUR
TSI_009	TSI_009	TSI	EUR
TSI_010	TSI_010	TSI	EUR
TSI_011	TSI_011	TSI	EUR
TSI_012	TSI_012	TSI	EUR
TSI_013	TSI_013	TSI	EUR
TSI_014	TSI_014	TSI	EUR
TSI_015	TSI_015	TSI	EUR
TSI_016	TSI_016	TSI	EUR
TSI_017	TSI_017	TSI	EUR
TSI_018	TSI_018	TSI	EUR
TSI_019	TSI_019	TSI	EUR
TSI_020	TSI_020	TSI	EUR
TSI_021	TSI_021	TSI	EUR
TSI_022	TSI_022	TSI	EUR
TSI_023	TSI_023	TSI	EUR
TSI_024	TSI_024	TSI	EUR
TSI_025	TSI_025	TSI	EUR
